date,phase1_input,phase2_input,msw_in,isw_a,isw_b
2026-02-01,487.6,322.2,740.0,51.0,24.8
2026-02-02,478.0,344.5,730.2,46.6,18.5
2026-02-03,462.9,349.7,758.5,47.3,18.8
2026-02-04,464.1,340.1,745.3,46.0,18.3
2026-02-05,456.2,337.9,732.2,45.7,18.1
2026-02-06,497.0,322.4,820.6,43.6,17.3
2026-02-07,457.2,355.2,769.1,48.0,19.1
2026-02-08,460.5,335.0,753.2,45.3,18.0
2026-02-09,498.5,350.4,801.1,19.2,9.1
2026-02-10,442.5,355.3,807.9,19.4,9.3
2026-02-11,453.5,325.9,782.8,17.8,8.5
2026-02-12,496.4,331.4,791.1,18.1,8.6
2026-02-13,493.1,342.5,745.0,18.7,8.9
2026-02-14,443.4,369.1,691.3,20.2,9.6
2026-02-15,466.5,353.1,605.7,19.3,9.2
2026-02-16,464.5,358.7,762.3,58.5,19.7
2026-02-17,415.1,353.2,778.8,57.6,19.4
2026-02-18,483.6,156.0,702.0,25.4,8.6
2026-02-19,458.6,388.2,769.7,63.3,21.3
2026-02-20,491.5,367.4,813.3,59.9,20.1
2026-02-21,447.0,326.1,786.4,53.2,17.9
2026-02-22,493.2,353.5,553.7,57.7,19.4
2026-02-23,490.9,366.1,753.1,26.3,17.5
2026-02-24,466.1,363.8,808.7,26.1,17.4
2026-02-25,233.3,363.9,740.5,26.1,17.4
2026-02-26,454.9,338.6,783.7,24.3,16.2
2026-02-27,499.1,351.7,792.8,25.2,16.8
2026-02-28,447.5,332.8,803.8,23.9,15.9
2026-03-01,488.0,335.8,797.7,24.1,16.0
2026-03-02,504.2,335.4,581.8,33.5,13.4
2026-03-03,461.6,397.7,791.2,39.7,15.8
2026-03-04,461.3,390.9,756.7,39.0,15.6
2026-03-05,466.9,133.6,745.4,13.3,5.3
2026-03-06,474.3,368.3,809.6,36.8,14.7
2026-03-07,449.4,357.2,789.2,35.7,14.2
2026-03-08,454.9,337.6,814.1,33.7,13.5
2026-03-09,520.1,333.4,800.6,31.9,12.0
2026-03-10,470.4,367.2,769.4,35.1,13.2
2026-03-11,501.0,360.6,591.1,34.5,13.0
2026-03-12,490.4,357.3,158.8,34.2,12.9
2026-03-13,453.0,364.5,771.6,34.9,13.1
2026-03-14,272.5,367.0,759.0,35.1,13.2
2026-03-15,21.2,158.5,756.6,15.2,5.7
2026-03-16,468.2,370.5,794.8,55.7,11.4
2026-03-17,473.6,348.5,824.1,52.4,10.7
2026-03-18,463.9,357.5,772.8,53.8,11.0
2026-03-19,490.5,371.6,777.4,55.9,11.4
2026-03-20,518.8,372.8,707.4,56.1,11.5
2026-03-21,482.6,354.4,758.6,53.3,10.9
2026-03-22,484.7,357.5,760.6,53.8,11.0
2026-03-23,436.6,362.4,742.3,53.8,37.8
2026-03-24,481.0,371.6,674.1,55.2,38.8
2026-03-25,488.8,363.8,770.5,54.0,38.0
2026-03-26,486.8,342.0,452.4,50.8,35.7
2026-03-27,513.4,215.2,552.4,31.9,22.4
2026-03-28,507.5,351.9,812.8,52.3,36.7
2026-03-29,193.6,346.4,742.2,51.4,36.1
2026-03-30,236.4,361.8,742.7,22.1,23.7
2026-03-31,493.3,365.7,841.5,22.3,23.9
2026-04-01,454.0,330.0,772.9,20.1,21.6
2026-04-02,483.1,297.2,465.9,18.1,19.5
2026-04-03,521.5,366.3,605.2,22.3,24.0
2026-04-04,453.6,365.6,759.8,22.3,23.9
2026-04-05,144.4,368.1,708.1,22.5,24.1
2026-04-06,448.7,209.7,726.0,33.7,19.5
2026-04-07,482.1,372.2,720.3,59.9,34.6
2026-04-08,435.3,365.5,446.5,58.8,33.9
2026-04-09,449.8,370.0,717.2,59.5,34.4
2026-04-10,473.0,331.4,731.5,53.3,30.8
2026-04-11,197.6,333.6,725.1,53.7,31.0
2026-04-12,468.5,333.2,768.5,53.6,30.9
2026-04-13,426.9,366.4,796.3,25.9,35.8
2026-04-14,437.5,345.8,780.4,24.5,33.8
2026-04-15,471.3,357.4,756.5,25.3,34.9
2026-04-16,484.5,375.0,742.5,26.5,36.7
2026-04-17,512.9,321.6,690.5,22.7,31.4
2026-04-18,459.6,357.0,558.5,25.3,34.9
2026-04-19,448.5,353.5,759.7,25.0,34.6
2026-04-20,435.6,339.2,684.5,48.6,35.7
2026-04-21,456.8,135.2,733.1,19.4,14.2
2026-04-22,474.8,379.2,700.5,54.3,40.0
2026-04-23,439.8,325.5,796.1,46.6,34.3
2026-04-24,483.0,332.7,768.9,47.6,35.1
2026-04-25,459.8,320.2,791.6,45.8,33.7
2026-04-26,533.4,349.5,775.4,50.0,36.8
2026-04-27,466.3,353.9,795.7,23.4,27.9
2026-04-28,510.9,328.4,727.8,21.7,25.9
2026-04-29,464.2,364.0,471.7,24.1,28.7
2026-04-30,483.2,365.4,785.4,24.2,28.8
2026-05-01,445.1,330.6,701.8,21.9,26.0
2026-05-02,458.9,14.9,736.6,1.0,1.2
2026-05-03,481.9,354.9,753.7,23.5,27.9
2026-05-04,449.6,318.2,761.2,32.9,33.2
2026-05-05,450.0,361.8,772.6,37.4,37.8
2026-05-06,482.9,341.8,711.0,35.3,35.7
2026-05-07,492.2,339.5,701.1,35.1,35.5
2026-05-08,477.8,372.2,752.8,38.4,38.9
2026-05-09,449.7,329.8,731.9,34.1,34.5
2026-05-10,431.3,340.5,765.9,35.2,35.6
2026-05-11,424.8,363.6,803.8,23.4,12.2
2026-05-12,421.3,344.3,811.1,22.1,11.6
2026-05-13,471.3,326.5,787.0,21.0,11.0
2026-05-14,492.0,345.7,741.6,22.2,11.6
2026-05-15,493.6,351.9,747.4,22.6,11.8
2026-05-16,456.1,366.8,797.7,23.6,12.3
2026-05-17,435.9,338.8,553.2,21.8,11.4
2026-05-18,478.0,326.9,751.7,44.7,12.7
2026-05-19,491.7,371.2,804.6,50.8,14.4
2026-05-20,261.2,354.3,790.7,48.5,13.8
2026-05-21,439.5,378.8,797.0,51.9,14.7
2026-05-22,499.1,370.7,754.1,50.7,14.4
2026-05-23,500.3,352.4,743.5,48.2,13.7
2026-05-24,509.1,349.3,761.0,47.8,13.6
2026-05-25,471.4,347.6,764.0,35.5,29.4
2026-05-26,449.8,361.1,770.8,36.9,30.6
2026-05-27,463.3,366.1,785.8,37.4,31.0
2026-05-28,491.4,335.2,735.1,34.2,28.4
2026-05-29,491.4,343.6,782.3,35.1,29.1
2026-05-30,477.6,378.9,708.7,38.7,32.1
2026-05-31,460.2,337.9,768.8,34.5,28.6
2026-06-01,477.1,372.6,325.5,45.9,21.5
2026-06-02,421.4,350.7,734.6,43.2,20.2
2026-06-03,499.0,329.3,804.3,40.5,19.0
2026-06-04,21.6,370.9,499.7,45.7,21.4
2026-06-05,443.7,355.0,518.5,43.7,20.4
2026-06-06,508.4,361.1,713.8,44.5,20.8
2026-06-07,487.5,15.0,761.8,1.8,0.9
2026-06-08,409.0,140.3,755.6,25.2,5.5
2026-06-09,469.9,312.2,736.6,56.1,12.2
2026-06-10,465.0,380.0,708.2,68.3,14.9
2026-06-11,475.0,359.4,718.9,64.6,14.1
2026-06-12,445.1,373.2,789.3,67.1,14.6
2026-06-13,454.7,324.6,486.9,58.4,12.7
2026-06-14,465.6,324.3,758.0,58.3,12.7
2026-06-15,477.2,397.2,677.8,62.4,22.7
2026-06-16,204.2,359.8,698.2,56.6,20.6
2026-06-17,473.3,362.4,748.8,57.0,20.7
2026-06-18,519.4,201.6,701.1,31.7,11.5
2026-06-19,437.3,332.1,803.6,52.2,19.0
2026-06-20,467.1,358.6,822.0,56.4,20.5
2026-06-21,429.7,345.4,810.1,54.3,19.7
2026-06-22,485.0,368.6,834.4,28.0,22.0
2026-06-23,508.0,363.2,757.6,27.6,21.6
2026-06-24,481.8,379.8,802.9,28.9,22.6
2026-06-25,514.2,370.4,783.1,28.2,22.1
2026-06-26,462.4,341.6,731.6,26.0,20.4
2026-06-27,485.3,367.4,779.0,27.9,21.9
2026-06-28,465.6,367.3,783.1,27.9,21.9
2026-06-29,457.2,349.7,731.6,37.2,38.1
2026-06-30,485.8,373.7,779.0,39.8,40.7
