time,steam_flow,steam_p,steam_t,feedwater_t,o2,fluegas_t
2026-02-01 00:00:00,28.045,3.9132,402.36,106.03,8.06,193.9
2026-02-01 01:00:00,27.693,3.915,397.56,105.54,8.58,193.4
2026-02-01 02:00:00,27.771,3.8668,397.15,102.32,7.37,199.5
2026-02-01 03:00:00,28.148,3.8282,397.09,106.07,9.37,198.8
2026-02-01 04:00:00,29.583,3.8662,401.42,103.07,9.83,194.7
2026-02-01 05:00:00,28.162,3.9209,398.03,103.98,6.18,185.9
2026-02-01 06:00:00,26.963,3.9426,404.24,104.5,7.21,179.4
2026-02-01 07:00:00,28.451,3.8895,399.39,102.45,8.25,192.7
2026-02-01 08:00:00,28.509,3.8558,400.11,101.94,8.24,190.8
2026-02-01 09:00:00,27.52,3.9493,396.34,106.49,8.39,196.6
2026-02-01 10:00:00,28.073,3.8682,398.53,105.58,8.05,194.0
2026-02-01 11:00:00,27.546,3.947,402.24,102.15,9.66,201.4
2026-02-01 12:00:00,28.547,3.9209,400.09,105.44,10.17,190.0
2026-02-01 13:00:00,26.917,3.9028,400.48,105.59,7.07,186.4
2026-02-01 14:00:00,27.575,3.9537,403.63,104.43,8.93,191.9
2026-02-01 15:00:00,27.925,3.7881,397.5,102.4,8.42,191.5
2026-02-01 16:00:00,26.916,3.9053,399.8,104.68,7.6,183.3
2026-02-01 17:00:00,28.845,3.8892,403.23,102.73,7.85,187.2
2026-02-01 18:00:00,26.992,3.9383,396.05,104.42,6.31,197.4
2026-02-01 19:00:00,27.84,3.9588,406.22,103.02,8.04,177.4
2026-02-01 20:00:00,27.417,3.9048,400.21,105.24,8.43,200.2
2026-02-01 21:00:00,27.228,3.9089,396.95,103.79,5.82,189.2
2026-02-01 22:00:00,27.838,3.878,398.85,101.46,7.5,184.2
2026-02-01 23:00:00,27.975,3.924,398.73,103.82,8.3,181.2
2026-02-02 00:00:00,30.327,4.0031,401.2,103.3,8.19,201.9
2026-02-02 01:00:00,30.552,3.8337,401.03,102.93,7.66,192.9
2026-02-02 02:00:00,29.901,3.8869,397.5,103.73,7.19,207.6
2026-02-02 03:00:00,28.052,3.9307,400.38,104.04,7.18,185.2
2026-02-02 04:00:00,29.127,3.8737,399.31,104.18,7.65,194.5
2026-02-02 05:00:00,30.063,3.8736,402.22,104.1,7.56,194.7
2026-02-02 06:00:00,30.397,3.8843,394.55,105.17,8.8,178.9
2026-02-02 07:00:00,29.296,3.923,392.91,105.16,8.57,198.1
2026-02-02 08:00:00,30.723,3.8473,402.82,107.39,6.19,186.2
2026-02-02 09:00:00,30.022,3.8635,394.48,104.45,8.12,182.6
2026-02-02 10:00:00,29.613,3.9448,402.96,104.6,7.0,186.7
2026-02-02 11:00:00,27.384,3.8456,400.42,104.78,7.96,189.6
2026-02-02 12:00:00,27.661,3.8344,396.45,103.06,7.5,211.5
2026-02-02 13:00:00,30.271,3.8469,397.88,103.12,7.5,184.4
2026-02-02 14:00:00,27.573,3.9564,401.91,104.9,8.05,194.2
2026-02-02 15:00:00,29.055,3.7988,400.23,103.97,6.91,167.1
2026-02-02 16:00:00,30.377,3.8464,399.24,102.88,9.31,174.6
2026-02-02 17:00:00,30.3,3.7706,402.62,103.18,6.15,190.0
2026-02-02 18:00:00,29.3,3.8163,400.9,103.87,8.34,175.4
2026-02-02 19:00:00,28.697,3.8486,400.19,103.12,7.15,203.3
2026-02-02 20:00:00,28.891,3.9521,402.34,102.83,6.48,191.4
2026-02-02 21:00:00,29.964,3.9561,401.01,104.57,7.45,182.2
2026-02-02 22:00:00,32.217,3.9547,395.82,104.38,8.33,171.5
2026-02-02 23:00:00,29.112,3.9258,404.86,106.37,7.68,186.3
2026-02-03 00:00:00,29.192,3.909,402.45,102.36,7.82,183.6
2026-02-03 01:00:00,28.917,3.8719,405.39,106.57,9.15,172.8
2026-02-03 02:00:00,29.887,4.0188,401.13,102.86,8.45,187.0
2026-02-03 03:00:00,29.252,3.9108,401.32,103.68,7.95,179.3
2026-02-03 04:00:00,29.573,3.9339,400.16,103.67,6.8,201.0
2026-02-03 05:00:00,28.571,3.9322,398.78,105.16,8.81,186.4
2026-02-03 06:00:00,26.889,3.7947,396.92,102.54,8.2,209.6
2026-02-03 07:00:00,30.214,3.8912,403.98,103.66,8.66,193.4
2026-02-03 08:00:00,27.882,3.9471,405.23,103.43,8.59,194.9
2026-02-03 09:00:00,29.382,3.8795,402.93,102.98,7.54,198.2
2026-02-03 10:00:00,30.458,3.9774,398.15,101.94,8.86,174.2
2026-02-03 11:00:00,29.257,3.8876,405.12,104.0,7.0,189.5
2026-02-03 12:00:00,30.821,3.8077,395.94,105.51,8.08,179.5
2026-02-03 13:00:00,29.443,3.9024,396.45,103.1,9.15,193.0
2026-02-03 14:00:00,30.632,3.897,398.23,104.43,7.24,193.4
2026-02-03 15:00:00,29.354,3.884,399.11,102.53,9.08,174.6
2026-02-03 16:00:00,29.827,3.8351,402.66,103.63,8.13,194.5
2026-02-03 17:00:00,29.951,3.9081,401.03,104.49,7.61,186.8
2026-02-03 18:00:00,29.414,3.8628,398.3,105.95,6.83,206.7
2026-02-03 19:00:00,29.16,3.9301,399.94,103.69,8.43,206.8
2026-02-03 20:00:00,29.527,3.8972,398.31,107.02,8.92,201.0
2026-02-03 21:00:00,29.661,3.8041,401.38,101.29,7.48,199.5
2026-02-03 22:00:00,29.114,3.8647,393.54,105.05,8.32,184.9
2026-02-03 23:00:00,29.955,3.8182,397.13,104.26,8.69,189.5
2026-02-04 00:00:00,27.54,3.8743,403.28,103.07,8.18,194.1
2026-02-04 01:00:00,28.126,3.9,394.54,103.1,8.01,196.1
2026-02-04 02:00:00,29.714,3.8748,401.34,103.77,7.35,181.9
2026-02-04 03:00:00,28.544,3.899,397.67,108.07,7.96,196.3
2026-02-04 04:00:00,28.365,4.038,393.22,103.42,8.13,201.6
2026-02-04 05:00:00,28.546,3.849,404.61,104.95,7.77,187.2
2026-02-04 06:00:00,28.374,3.9063,394.77,104.15,7.49,194.5
2026-02-04 07:00:00,28.871,3.8458,403.93,105.08,7.25,179.1
2026-02-04 08:00:00,28.0,3.9154,403.67,102.6,7.35,194.8
2026-02-04 09:00:00,28.542,3.8954,399.52,103.46,9.36,199.3
2026-02-04 10:00:00,28.302,3.9605,405.52,104.65,8.21,184.7
2026-02-04 11:00:00,28.689,3.909,403.78,102.53,6.67,184.6
2026-02-04 12:00:00,28.898,3.7981,399.27,102.73,7.07,190.9
2026-02-04 13:00:00,29.574,3.8302,400.55,103.68,8.48,189.6
2026-02-04 14:00:00,28.041,3.9419,401.14,102.4,6.37,182.5
2026-02-04 15:00:00,28.747,3.9359,398.14,103.35,6.52,184.9
2026-02-04 16:00:00,28.669,3.8681,399.53,102.46,7.24,192.2
2026-02-04 17:00:00,27.244,3.8979,403.37,103.06,7.56,181.1
2026-02-04 18:00:00,27.456,3.8679,396.01,103.56,7.51,178.1
2026-02-04 19:00:00,28.582,3.9458,402.12,103.47,7.92,178.8
2026-02-04 20:00:00,28.336,3.9283,402.0,105.87,6.73,204.6
2026-02-04 21:00:00,28.865,3.9723,399.74,105.69,7.91,178.6
2026-02-04 22:00:00,28.808,3.8703,399.6,104.63,8.54,195.5
2026-02-04 23:00:00,29.357,3.8184,403.15,102.62,8.0,185.0
2026-02-05 00:00:00,27.543,3.9389,396.69,103.03,9.08,166.7
2026-02-05 01:00:00,27.092,3.9424,398.48,105.02,7.91,184.2
2026-02-05 02:00:00,29.119,3.8603,398.07,104.2,7.05,174.8
2026-02-05 03:00:00,27.117,3.9415,405.44,105.62,7.42,183.9
2026-02-05 04:00:00,27.683,3.8952,402.81,103.75,7.91,157.0
2026-02-05 05:00:00,28.789,3.8358,398.98,104.4,8.02,196.5
2026-02-05 06:00:00,29.842,3.7825,395.11,106.34,8.32,182.1
2026-02-05 07:00:00,28.314,3.8966,402.92,103.41,7.94,176.0
2026-02-05 08:00:00,29.802,3.9191,398.39,101.9,7.93,198.1
2026-02-05 09:00:00,30.526,3.9924,398.7,103.29,7.17,194.0
2026-02-05 10:00:00,27.912,3.9261,400.81,104.55,7.18,201.0
2026-02-05 11:00:00,28.396,3.837,399.75,104.2,8.01,199.0
2026-02-05 12:00:00,29.605,4.0119,399.6,105.77,5.9,208.4
2026-02-05 13:00:00,28.557,3.9618,399.19,104.76,8.48,183.6
2026-02-05 14:00:00,28.088,3.7535,401.58,103.72,7.79,201.9
2026-02-05 15:00:00,28.882,3.9102,394.22,104.19,7.74,199.6
2026-02-05 16:00:00,28.155,3.8372,399.22,106.74,7.28,202.6
2026-02-05 17:00:00,28.437,3.7968,401.78,107.51,8.34,179.0
2026-02-05 18:00:00,28.396,3.8543,408.56,104.8,6.07,198.0
2026-02-05 19:00:00,28.974,3.8472,398.08,103.85,9.36,184.4
2026-02-05 20:00:00,27.931,3.9468,398.0,102.39,7.87,198.0
2026-02-05 21:00:00,28.712,3.8799,404.25,106.06,6.69,178.1
2026-02-05 22:00:00,27.789,3.8877,400.43,103.84,8.04,194.3
2026-02-05 23:00:00,27.477,3.7889,400.81,105.84,8.14,185.6
2026-02-06 00:00:00,27.558,3.8825,396.0,103.39,8.6,193.0
2026-02-06 01:00:00,27.661,3.8739,401.61,106.12,7.72,184.9
2026-02-06 02:00:00,28.11,3.9042,396.43,103.35,9.04,193.5
2026-02-06 03:00:00,28.63,3.9313,400.74,105.57,7.5,200.6
2026-02-06 04:00:00,27.042,3.887,401.17,103.29,7.09,181.0
2026-02-06 05:00:00,27.538,3.9147,400.23,105.07,7.28,185.9
2026-02-06 06:00:00,28.442,3.8523,403.83,103.6,8.42,192.4
2026-02-06 07:00:00,26.913,3.9056,402.87,102.95,7.24,198.6
2026-02-06 08:00:00,26.799,3.8916,399.45,103.37,6.56,189.1
2026-02-06 09:00:00,26.746,3.8328,398.32,104.36,9.38,184.6
2026-02-06 10:00:00,28.208,3.8774,401.39,103.62,8.6,191.4
2026-02-06 11:00:00,26.806,3.8234,402.96,101.76,7.52,207.6
2026-02-06 12:00:00,27.318,3.9045,400.39,104.37,7.73,193.5
2026-02-06 13:00:00,26.994,3.8838,401.42,104.96,8.29,199.5
2026-02-06 14:00:00,28.639,3.9859,400.34,102.39,8.92,191.3
2026-02-06 15:00:00,27.757,3.8832,402.6,102.37,8.15,176.8
2026-02-06 16:00:00,28.767,3.8884,393.85,105.94,8.79,203.9
2026-02-06 17:00:00,26.236,3.9202,404.01,103.78,8.34,188.2
2026-02-06 18:00:00,26.902,3.9699,397.82,104.11,8.49,190.8
2026-02-06 19:00:00,27.83,3.8042,403.51,102.31,7.86,187.0
2026-02-06 20:00:00,27.532,3.893,398.87,105.08,9.66,184.4
2026-02-06 21:00:00,26.624,3.8733,396.51,102.26,7.66,197.4
2026-02-06 22:00:00,26.744,3.8613,399.79,102.88,10.16,205.5
2026-02-06 23:00:00,27.173,3.8185,398.44,102.7,7.33,168.9
2026-02-07 00:00:00,29.87,3.8721,398.09,102.14,8.31,181.8
2026-02-07 01:00:00,28.314,3.8504,402.42,105.79,7.12,188.5
2026-02-07 02:00:00,30.821,3.9457,398.67,104.45,7.67,172.4
